Name,Description,Category,Card,Date,Status,OCost,Cost,Savings
Kin,Kin,Food,A.S 1008,4/2/2025,Procured,,14,
Misc Cables,Anker HDMI USBC,PC,A.S 1008,4/2/2025,Procured,34,30,4
Paypal,Angel Rent,Life,A.S 1008,3/31/2025,Procured,1000,1000,0
Infuser Thermos,Pure Zen Infuser,Health,A.S 1008,3/31/2025,Procured,38,25,13
Foam Gun,Foam King Spray,Tesla,A.S 1008,3/31/2025,Procured,50,40,10
Car Wash Brush,Willingheart Car Brush,Tesla,A.S 1008,3/31/2025,Procured,25,22,3
Mugimaru,Mugimaru,Food,A.S 1008,3/31/2025,Procured,,15,
Chewie Mellow,Chewie Mellow,Food,A.S 1008,3/31/2025,Procured,,10,
Hot C,Hot C,Food,A.S 1008,3/30/2025,Procured,,36,
Tastea,Tastea,Food,A.S 1008,3/30/2025,Procured,,7,
Monitor Arm Mounts,Secretlab Mount,PC,A.S 1008,3/30/2025,Procured,300,300,0
Brodard,Brodard,Food,A.S 1008,3/29/2025,Procured,,23,
Disney Dole Whip,Disney Dole Whip,Food,A.S 1008,3/28/2025,Procured,,10,
Istanbul Grill,Istanbul Grill,Food,A.S 1008,3/27/2025,Procured,,27,
Cabinet Organizer,Elfa Narrow Cabinet,Home,A.S 1008,3/27/2025,Procured,144,109,35
Desk Vacuum,Hoto Vacuum,Tech,A.S 1008,3/26/2025,Procured,110,10,100
Taco Bell,Taco Bell,Food,A.S 1008,3/26/2025,Procured,,12,
Capital,Capital,Food,A.S 1008,3/26/2025,Procured,,23,
Rockin Sushi,Rockin Sushi,Food,A.S 1008,3/25/2025,Procured,,23,
Rooster and Rice,Rooster and Rice,Food,A.S 1008,3/24/2025,Procured,,16,
Desk,Secretlab Magnus,PC,A.S 1008,3/24/2025,Procured,766,726,40
Flame Broiler,Flame Broiler,Food,A.S 1008,3/24/2025,Procured,,9,
,Feve,Fun,A.S 1008,3/23/2025,Procured,,75,
Tape Measurer,Dewalt Tape,Home,A.S 1008,3/22/2025,Procured,24,24,0
Uber,LAX > Home,Travel,A.S 1008,3/20/2025,Procured,80,30,50
Dakao,Dakao,Food,A.S 1008,3/20/2025,Procured,,17,
Anker Pokemon,Anker Chargers,Tech,A.S 1008,3/19/2025,Procured,166,153,13
Matcha Tokyo,Matcha Tokyo,Food,A.S 1008,3/19/2025,Procured,,5,
Skytree Katsu,Skytree Katsu,Food,A.S 1008,3/19/2025,Procured,,19,
Shampoo,&Honey,Health,A.S 1008,3/19/2025,Procured,15,15,0
SkyTree Pokemon,Plushes,Fun,A.S 1008,3/19/2025,Procured,118,107,11
Anker,Pokemon Charging,Tech,A.S 1008,3/18/2025,Procured,66,59,7
DisneySea,Hats,Fun,A.S 1008,3/18/2025,Procured,50,46,4
Suica,Travel Card,Travel,A.S 1008,3/18/2025,Procured,13,13,0
Disney Shibuya,Plush Merch,Fun,A.S 1008,3/18/2025,Procured,46,42,4
DisneySea,DisneySea,Food,A.S 1008,3/18/2025,Procured,,6,
7-11,7-11,Food,A.S 1008,3/18/2025,Procured,,2,
RakuRaku,RakuRaku,Food,A.S 1008,3/18/2025,Procured,,25,
DisneySea,Blind Box,Gift,A.S 1008,3/18/2025,Procured,66,59,7
Ichiran,Ichiran,Food,A.S 1008,3/17/2025,Procured,,10,
Trip Expenses,Bus/Shinkansen/DisneyC,Travel,A.S 1008,3/16/2025,Procured,130,130,0
Uniqlo,Socks/Inner/Jacket,Apparel,A.S 1008,3/16/2025,Procured,67,61,6
Tomods,Cream/Clipper,Health,A.S 1008,3/16/2025,Procured,18,18,0
Ghibli Merch,Handkerchief,Fun,A.S 1008,3/16/2025,Procured,6,6,0
Suica,Travel Card,Travel,A.S 1008,3/16/2025,Procured,13,13,0
Tocen Goshobo Drinks,Tocen Goshobo Drinks,Food,A.S 1008,3/14/2025,Procured,,22,
7-11,7-11,Food,A.S 1008,3/14/2025,Procured,,15,
Suica,Travel Card,Travel,A.S 1008,3/14/2025,Procured,26,26,0
Bus,JR Bus Arima,Travel,A.S 1008,3/13/2025,Procured,10,10,0
Ramen Makotoya,Ramen Makotoya,Food,A.S 1008,3/12/2025,Procured,,9,
Kyoto Unagi,Kyoto Unagi,Food,A.S 1008,3/12/2025,Procured,,41,
Hydrating Lotion,Gokujyun Premium,Health,A.S 1008,3/12/2025,Procured,7,7,0
McDonalds,McDonalds,Food,A.S 1008,3/11/2025,Procured,,7,
House of Shabu 2,House of Shabu 2,Food,A.S 1008,3/10/2025,Procured,,56,
Kaiser,Medical Bill,Health,A.S 1008,3/10/2025,Procured,20,20,0
Nook,Nook,Food,A.S 1008,3/9/2025,Procured,,13,
eSim,Ubigi 10GB eSim,Travel,A.S 1008,3/9/2025,Procured,18,16,2
Wushiland,Wushiland,Food,A.S 1008,3/9/2025,Procured,,6,
Japan25 Tokyo Hotel,Ulu Tokyo,Travel,A.S 1008,3/9/2025,Procured,1601,1601,0
Togos,Togos,Food,A.S 1008,3/8/2025,Procured,,17,
Flame Broiler,Flame Broiler,Food,A.S 1008,3/8/2025,Procured,,18,
Japan25 Osaka Hotel,Cross Hotel Osaka,Travel,A.S 1008,3/7/2025,Procured,920,919,1
Rooster Rice,Rooster Rice,Food,A.S 1008,3/7/2025,Procured,,16,
GPU XFX Mercury,AMD RX 9070 XT,PC,A.S 1008,3/6/2025,Procured,800,800,0
Japan25 Fuji Hotel,Rakuten STAY Hakone,Travel,A.S 1008,3/6/2025,Procured,672,610,62
,Noctua NF-A14x25,PC,A.S 1008,3/6/2025,Procured,,0,
McDonalds,McDonalds,Food,A.S 1008,3/5/2025,Procured,,21,
Japan25 Kobe Ryokan,Arima Onsen Goshobo,Travel,A.S 1008,3/5/2025,Procured,2697,2438,259
Capital,Capital,Food,A.S 1008,3/4/2025,Procured,,20,
Outback Steak,Outback Steak,Food,A.S 1008,3/4/2025,Procured,,40,
EPL,EPL,Food,A.S 1008,3/3/2025,Procured,,13,
Panda Ex,Panda Ex,Food,A.S 1008,3/3/2025,Procured,,12,
Tastea,Tastea,Food,A.S 1008,3/2/2025,Procured,,8,
Japan25 Flight,JAL Round Trip,Travel,A.S 1008,3/1/2025,Procured,840,840,0
Japan25 Flight,Peach Tokyo to Osaka,Travel,A.S 1008,3/1/2025,Procured,62,62,0
Urban Plates,Urban Plates,Food,A.S 1008,3/1/2025,Procured,,18,
Casey Grill,Casey Grill,Food,A.S 1008,2/28/2025,Procured,,17,
Storage,Target Bin,Home,A.S 1008,2/28/2025,Procured,10,10,0
BYLT Warehouse,BYLT,Apparel,A.S 1008,2/28/2025,Procured,908,375,533
Fast Hotpot,Fast Hotpot,Food,A.S 1008,2/28/2025,Procured,,20,
Capital,Capital,Food,A.S 1008,2/27/2025,Procured,,20,
Cava,Cava,Food,A.S 1008,2/27/2025,Procured,,13,
Federal Tax Owed,Annual Taxes,Fun,A.S 1008,2/27/2025,Procured,927,927,0
Paradise,Paradise,Food,A.S 1008,2/26/2025,Procured,,18,
Cha,Cha,Food,A.S 1008,2/26/2025,Procured,,8,
Kin,Kin,Food,A.S 1008,2/25/2025,Procured,,14,
EPL,EPL,Food,A.S 1008,2/25/2025,Procured,,11,
EPL,EPL,Food,A.S 1008,2/24/2025,Procured,,6,
Simply Pho,Simply Pho,Food,A.S 1008,2/24/2025,Procured,,18,
Banh Cuon LL,Banh Cuon LL,Food,A.S 1008,2/23/2025,Procured,,14,
Red Flame,Red Flame,Food,C.F 3882,2/22/2025,Procured,,26,
Dakao,Dakao,Food,A.S 1008,2/22/2025,Procured,,16,
EPL,EPL,Food,A.S 1008,2/21/2025,Procured,,13,
Kizik Shoes,Athens 2 Blackout Size 8,Apparel,A.S 1008,2/21/2025,Procured,139,119,20
CHA,CHA,Food,A.S 1008,2/20/2025,Procured,,7,
Washer Fluid,Kristal Klarr Fluid,Tesla,A.S 1008,2/19/2025,Procured,40,27,13
Curry Do,Curry Do,Food,A.S 1008,2/19/2025,Procured,,20,
EPL,EPL,Food,A.S 1008,2/18/2025,Procured,,12,
London Chippy,London Chippy,Food,A.S 1008,2/17/2025,Procured,,16,
Paradise,Paradise,Food,A.S 1008,2/17/2025,Procured,,22,
Com Tam TQC,Com Tam TQC,Food,A.S 1008,2/16/2025,Procured,,17,
Tastea,Tastea,Food,A.S 1008,2/16/2025,Procured,,7,
Cuts Jackets,Warehouse Sale,Apparel,A.S 1008,2/15/2025,Procured,350,90,260
No1 C,No1 C,Food,A.S 1008,2/13/2025,Procured,,12,
Dominos,Dominos,Food,A.S 1008,2/13/2025,Procured,,10,
Capital,Capital,Food,A.S 1008,2/12/2025,Procured,,20,
Paradise,Paradise,Food,A.S 1008,2/11/2025,Procured,,21,
Shin Sen Gumi,Shin Sen Gumi,Food,A.S 1008,2/11/2025,Procured,,30,
Discord Snek,Discord Snake Icon + Banner,Fun,A.S 1008,2/11/2025,Procured,10,9,1
EPL,EPL,Food,A.S 1008,2/10/2025,Procured,,13,
Farmers Market,Farmers Market,Food,A.S 1008,2/9/2025,Procured,,20,
Grams,Grams,Food,A.S 1008,2/9/2025,Procured,,44,
Baking,Baking,Food,A.S 1008,2/9/2025,Procured,,16,
Ceramic Mug,Geeki Tiki Mando Mug,Gift,A.S 1008,2/8/2025,Procured,40,40,0
Stonefire Grill,Stonefire Grill,Food,A.S 1008,2/8/2025,Procured,,20,
Tesla Trunk Organizer,Spigen Side Trunk Organizer,Tesla,A.S 1008,2/8/2025,Procured,55,51,4
Matte Black Trash Can,Kholer 8G Stainless Steel,Home,A.S 1008,2/8/2025,Procured,80,80,0
Apple Tracker Card,RhinoCard Apple Card,Travel,A.S 1008,2/8/2025,Procured,40,30,10
Cha,Cha,Food,A.S 1008,2/8/2025,Procured,,7,
Cha,Cha,Food,A.S 1008,2/6/2025,Procured,,7,
Capital,Capital,Food,A.S 1008,2/6/2025,Procured,,20,
EPL,EPL,Food,A.S 1008,2/5/2025,Procured,,7,
EPL,EPL,Food,A.S 1008,2/4/2025,Procured,,13,
Brodard,Brodard,Food,A.S 1008,2/4/2025,Procured,,24,
Cooling System,NZXT Kraken 360,PC,A.S 1008,2/3/2025,Procured,190,180,10
,AMD Ryzen 7 7800X3D,PC,A.S 1008,2/3/2025,Procured,,450,
Shabuya,Shabuya,Food,A.S 1008,2/3/2025,Procured,,35,
Power Supply,SF Leadex III Gold UP 850 W,PC,A.S 1008,2/3/2025,Procured,196,120,76
Motherboard,GIGABYTE X870 EAGLE AM5,PC,A.S 1008,2/3/2025,Procured,244,220,24
EPL,EPL,Food,A.S 1008,2/3/2025,Procured,,13,
RAM,G.SKILL Trident Z5 Neo RGB,PC,A.S 1008,2/3/2025,Procured,112,112,0
Kin,Kin,Food,A.S 1008,2/3/2025,Procured,,23,
,Fractal Design North Mid Tower,PC,A.S 1008,2/3/2025,Procured,,140,
Simply Pho,Simply Pho,Food,A.S 1008,2/1/2025,Procured,,18,
Gyutan,Gyutan,Food,A.S 1008,1/31/2025,Procured,,34,
Slurpin,Slurpin,Food,A.S 1008,1/30/2025,Procured,,12,
Carry On Luggage,Monos Carry On,Travel,A.S 1008,1/29/2025,Procured,265,212,53
Capital,Capital,Food,A.S 1008,1/29/2025,Procured,,19,
Tesla Core Jacket,Tesla Core Jacket (S),Apparel,A.S 1008,1/27/2025,Procured,120,120,0
EPL,EPL,Food,A.S 1008,1/27/2025,Procured,,13,
Com Tam TQC,Com Tam TQC,Food,A.S 1008,1/26/2025,Procured,,18,
Noks,Noks,Food,A.S 1008,1/25/2025,Procured,,34,
Mitsuwa,Mitsuwa,Food,A.S 1008,1/24/2025,Procured,,11,
Paradise,Paradise,Food,A.S 1008,1/23/2025,Procured,,21,
McD,McD,Food,A.S 1008,1/23/2025,Procured,,11,
Tesla Wall Charger Holder,Spigen Bespoke Cable Organizer,Tesla,A.S 1008,1/22/2025,Procured,35,24,11
Rooster,Rooster,Food,A.S 1008,1/22/2025,Procured,,16,
Capital,Capital,Food,A.S 1008,1/21/2025,Procured,,20,
Apple Watch 10 Protector,Spigen Tough Armor Case,Tech,A.S 1008,1/21/2025,Procured,27,27,0
NEMA 14-50 Install,Electrician,Tesla,A.S 1008,1/20/2025,Procured,900,900,0
Tesla Frunk Light,TPARTS Frunk LED Strip,Tesla,A.S 1008,1/20/2025,Procured,35,35,0
Hot C,Hot C,Food,A.S 1008,1/19/2025,Procured,,36,
Sen,Sen,Food,A.S 1008,1/18/2025,Procured,,18,
Taco Bell,Taco Bell,Food,A.S 1008,1/18/2025,Procured,,14,
Curry Do,Curry Do,Food,A.S 1008,1/17/2025,Procured,,20,
JITB,JITB,Food,A.S 1008,1/16/2025,Procured,,13,
Brodard,Brodard,Food,A.S 1008,1/15/2025,Procured,,13,
3CAT,3CAT,Food,A.S 1008,1/15/2025,Procured,,13,
Capital,Capital,Food,A.S 1008,1/15/2025,Procured,,20,
7Leaves,7Leaves,Food,A.S 1008,1/14/2025,Procured,,6,
No1 CF,No1 CF,Food,A.S 1008,1/13/2025,Procured,,12,
Hungry Boy,Hungry Boy,Food,A.B.1007,1/12/2025,Procured,,16,
Com Tam TQC,Com Tam TQC,Food,A.B.1007,1/11/2025,Procured,,18,
Document Organizer,ENGPOW Accordion Organizer,Home,A.B.1007,1/11/2025,Procured,30,26,4
Habit,Habit,Food,A.B.1007,1/11/2025,Procured,,16,
Slurpin,Slurpin,Food,A.B.1007,1/10/2025,Procured,,12,
Meiji,Meiji,Food,A.B.1007,1/9/2025,Procured,,24,
Panda Ex,Panda Ex,Food,A.B.1007,1/8/2025,Procured,,12,
Rooster,Rooster,Food,A.B.1007,1/7/2025,Procured,,15,
Capital,Capital,Food,A.B.1007,1/6/2025,Procured,,20,
Quan Mii,Quan Mii,Food,A.B.1007,1/5/2025,Procured,,19,
MyQ Smart Garage,CHAMBERLAIN Garage Control,Tesla,A.B.1007,1/5/2025,Procured,30,28,2
Pho HB,Pho HB,Food,A.B.1007,1/5/2025,Procured,,22,
Tesla Armrest Organizer,Spigen Armrest Organizer,Tesla,A.B.1007,1/5/2025,Procured,34,26,8
Seasurf,Seasurf,Food,A.B.1007,1/4/2025,Procured,,11,
Tesla Metal Pedals,Spigen Stuttgart Type A,Tesla,A.B.1007,1/4/2025,Procured,60,40,20
Tesla Cup Holder,HALOBLK Console Cup Holder,Tesla,A.B.1007,1/4/2025,Procured,23,23,0
3CAT,3CAT,Food,A.B.1007,1/4/2025,Procured,,7,
Blue Bowl,Blue Bowl,Food,A.B.1007,1/3/2025,Procured,,12,
Raising Canes,Raising Canes,Food,A.B.1007,1/3/2025,Procured,,20,
SSD M2,Samsung 990 PRO SSD 4TB,PC,A.S 1008,1/3/2025,Procured,465,300,165
Sen,Sen,Food,A.B.1007,1/2/2025,Procured,,40,
Ini,Ini,Food,A.B.1007,1/1/2025,Procured,,43,
Tesla Touch Up Paint,Paint Repair Stealth Grey - PN01,Tesla,A.B.1007,12/31/2024,Procured,75,75,0
Tesla Center Organizer,Spigen Center Console Organizer,Tesla,A.B.1007,12/20/2024,Procured,33,28,5
Aloe Gel,Seven Minerals Aloe Vera,Health,A.B.1007,12/20/2024,Procured,25,17,8
Tesla Screen Box,Under Screen Storage Box,Tesla,A.B.1007,12/20/2024,Procured,48,44,4
All Weather Floor Mats,3D MAXpider Floor Mats,Tesla,A.B.1007,12/20/2024,Procured,312,240,72
Car Tire Inflator,Fanttik X8 APEX EV Tire Inflator,Tesla,A.B.1007,12/20/2024,Procured,99,87,12
Tesla Storage Box,Spigen Hidden Storage Box,Tesla,A.B.1007,12/20/2024,Procured,28,23,5
Apple Watch Band,Aulumu A11 Mag Band,Tech,A.B.1007,12/20/2024,Procured,40,40,0
Apple Watch,Apple Watch 10,Tech,A.B.1007,12/20/2024,Procured,430,380,50
Tesla Document Holder,Spigen Car Registration Holder,Tesla,A.B.1007,12/20/2024,Procured,30,25,5
Manscape Razor,Gillette Intimate Pubic Hair Razor,Health,A.B.1007,12/20/2024,Procured,22,22,0
Knob and Commander,S3XY Knob Commander Combo,Tesla,A.B.1007,12/20/2024,Procured,380,322,58
Car Vacuum Cleaner,Fanttik Slim V8 Apex,Tesla,A.B.1007,12/20/2024,Procured,100,76,24
Tesla Center Console Cover,Spigen Center Console Armrest,Tesla,A.B.1007,12/20/2024,Procured,40,36,4
Tesla Screen Protector,Spigen Tempered Glass Protector,Tesla,A.B.1007,12/20/2024,Procured,43,43,0
Tesla Trunk Frunk Mat,Spigen WeatherBloc Mat Set,Tesla,A.B.1007,12/20/2024,Procured,150,150,0
Airpod Max Cup,Spigen Urban Fit,Tech,A.B.1007,12/18/2024,Procured,30,19,11
Throw Blanket,Snuggle Sac Heather Black,Home,A.B.1007,12/18/2024,Procured,40,30,10
Airpod Max Band,AWINNER Headband,Tech,A.B.1007,12/18/2024,Procured,9,9,0
Windshield Sunshade,Spigen Triple-Coated CryoShade,Tesla,A.B.1007,12/18/2024,Procured,40,34,6
Airpods Max Stand,The Max Stand,Tech,A.S 1008,12/17/2024,Procured,89,89,0
Streaming Webcam,Logitech 2017 Brio 4K Webcam,Gift,A.B.1007,12/15/2024,Procured,200,140,60
Laser Hair Removal,6 Sessions SEV Laser,Health,A.B.1007,12/6/2024,Procured,540,260,280
Shaving Cream,Gillette Intimate 2 in 1 Cream,Health,A.B.1007,12/5/2024,Procured,10,10,0
Numbing Cream,Ebanel 5% Lidocaine Cream,Health,A.B.1007,12/5/2024,Procured,18,18,0
Manscape Trimmer,Gillette Intimate Men’s Manscape,Health,A.B.1007,12/5/2024,Procured,60,60,0
Drying Rack,Honey-Can-Do DRY-09065,Home,A.B.1007,11/29/2024,Procured,40,24,16
Govee Lamps,Govee RGBIC Smart Lamp,Tech,A.B.1007,11/27/2024,Procured,100,55,45
Govee Lamps,Govee RGBIC Smart Lamp,Gift,A.B.1007,11/27/2024,Procured,100,55,45
Car Wash Fluid,Meguiars Gold Car Wash Soap,Tesla,A.B.1007,11/27/2024,Procured,25,21,4
Microfiber Cleaner,ChemGuys Microfiber Detergent,Tesla,A.B.1007,11/27/2024,Procured,13,13,0
Echo Spot,Echo Spot 2024,Tech,A.B.1007,11/27/2024,Procured,80,45,35
Govee Lamps,Govee RGBIC Smart Lamp,Gift,A.B.1007,11/27/2024,Procured,100,55,45
Sunglasses Holder,BASENOR Sunglasses Holder,Tesla,A.B.1007,11/23/2024,Procured,20,17,3
Tesla Stalks,Enhauto S3XY Stalks,Tesla,A.B.1007,11/22/2024,Procured,375,300,75
Tesla Lift Pad,Chirano Lifting Jack Pad,Tesla,A.B.1007,11/21/2024,Procured,35,20,15
iPad Pro,2022 iPad Pro,Tech,A.B.1007,11/18/2024,Procured,1000,784,216
Korin Sling,Click Sling S,Apparel,A.S 1008,11/18/2024,Procured,130,40,90
Benks Watch Band,Benks Magnetic Silicone Band,Tech,A.B.1007,11/18/2024,Procured,30,13,17
BenQ Stand,BenQ Webcam Adaptor,Tech,A.B.1007,11/18/2024,Procured,20,20,0
LTT Screwdriver,LTT Screwdriver,Home,A.B.1007,11/18/2024,Procured,70,40,30
BenQ Lightbar,BenQ ScreenBar Halo LED,Tech,A.B.1007,11/18/2024,Procured,180,180,0
Apple Pencil,Apple Pencil (2nd Generation),Tech,A.B.1007,11/18/2024,Procured,130,80,50
Airpods Pro 2,Airpods Pro 2,Tech,A.B.1007,11/17/2024,Procured,250,160,90
3-1 Travel Charger,Anker MagSafe MagGo,Travel,A.B.1007,11/17/2024,Procured,90,63,27
Airpods Pro 2 Case,ESR for AirPods Pro 2nd,Tech,A.B.1007,11/17/2024,Procured,24,10,14
3-1 Charging Stand,Anker MagGo 3,Tech,A.B.1007,11/17/2024,Procured,100,72,28
Windshield Washer Fluid,Rain-X Washer Fluid,Tesla,A.B.1007,10/21/2024,Procured,15,14,1
Embody Headrest,Atlas Embody Headrest,Home,A.B.1007,9/3/2023,Procured,190,190,0
Ergonomic Chair,Embody Logitech Chair,Home,A.B.1007,8/5/2023,Procured,1995,1356,639
Lego Smart Play,Luke's Red Five X-Wing,Gift,HILTON HONORS SURPASS,5/2/2026,Procured,90,90,
Bourbon Steak,,Food,HILTON HONORS SURPASS,5/2/2026,Procured,175,175,0
Waldorf Astoria Parking,,Travel,HILTON HONORS SURPASS,5/3/2026,Procured,75,75,0
Hole Mole,,Food,HILTON HONORS SURPASS,5/3/2026,Procured,15,15,0
Holiday Inn Express,,Travel,HILTON HONORS SURPASS,4/29/2026,Procured,608,608,0
Slurpin Ramen,,Food,HILTON HONORS SURPASS,5/5/2026,Procured,27,27,0
Skewers,,Food,VENMO,5/5/2026,Procured,60,60,0
Vox,,Food,HILTON HONORS SURPASS,5/6/2026,Procured,25,25,0
Medocino Farms,,Food,HILTON HONORS SURPASS,5/6/2026,Procured,26,26,0
Vons,,Food,HILTON HONORS SURPASS,5/6/2026,Procured,8,8,0
Afters,,Food,HILTON HONORS SURPASS,5/6/2026,Procured,7,7,0
Capital Noodle,,Food,HILTON HONORS SURPASS,5/7/2026,Procured,22,22,0
Pho Lab,,Food,HILTON HONORS SURPASS,5/7/2026,Procured,27,27,0
1954 Bakery,,Food,HILTON HONORS SURPASS,5/8/2026,Procured,26,26,0
Zion Market,,Food,HILTON HONORS SURPASS,5/8/2026,Procured,50,50,0
